EBS;place_name;country;disease_name;species_name;alert_id;source;href;issue_date;alert_tag;Manualclass;Confirmed ;Empres-i ref;reviewed;sc;sd;cc;cd;ro;long_name;lon;lat;Pointssamplingtool;Safesignal
HealthMap;"Wenzhou; Zhejiang Province; China";China;African Swine Fever;Pigs;5981745;chanelnewsasia;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFCKPjQ3xgTT6Yg-tGV1T6J0KK0AA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780013092869&ei=ej9-W6jAApKV3QHG-aLIDw&url=https://www.channelnewsasia.com/news/health/china-reports-fourth-african-swine-fever-outbreak--ministry-10643664;23-Aug-2018;Breaking;Irrelevant;no;;8/23/19 16:34;;;;340;;Google News;120.654442;28.019167;143;43,92
HealthMap;"Wenzhou; Zhejiang Province; China";China;African Swine Fever;Pigs;5982019;buisnessinsider;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH9FtFLXK8QezUT74gPOVLYc4jN0g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780013092869&ei=und-W-iMKJKV3QHG-aLIDw&url=http://uk.businessinsider.com/ap-china-reports-new-african-swine-fever-outbreak-2018-8;23-Aug-2018;Breaking;Irrelevant;no;;8/23/19 16:21;;;;;;Google News;120.654442;28.019167;143;43,92
HealthMap;"Zhejiang Province; China";China;African Swine Fever;Pigs;5984645;pigprogress;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHO_YE0qN5h2Hax5n5q6cVBnlpj9g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780016754951&ei=XOV_W8CuL4aT3QHYqr34Bg&url=https://www.pigprogress.net/Health/Articles/2018/8/ASF-update-4th-Chinese-outbreak-and-growing-worries-325641E/;24-Aug-2018;Breaking;Irrelevant;no;;8/23/19 15:58;;;;;;Google News;120.014603;28.998501;107;58,04
HealthMap;South Korea;South Korea;African Swine Fever;Pigs;5988167;koreatimes;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHAlt9wX2sp0Uicans-DHvP9_uK7Q&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780018470414&ei=WHqCW5jZM5GY3QHMm5WYDw&url=http://www.koreatimes.co.kr/www/nation/2018/08/119_254476.html;26-Aug-2018;Breaking;Irrelevant;no;;8/23/19 15:22;;;;;;Google News;127.726997;36.615501;57;77,65
HealthMap;"Kampong Cham Province; Cambodia";Cambodia;Avian Influenza H5N1;Poultry (domestic);5995929;khmertimeskh;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH0kaTSxXIr8A-iLrINTJ8m9p4MHg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=aBeHW7iLBM623AGh6a3wAg&url=https://www.khmertimeskh.com/50528182/bird-flu-outbreak-in-tboung-khmum/;29-Aug-2018;Breaking;Relevant;yes;239383;8/23/19 14:09;;;;;;Google News;105.583328;12.08333;150;41,18
HealthMap;"Wuhu; Anhui Province; China";China;African Swine Fever;Pigs;5997324;nasdaq;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFa_vcQkG3YHUP98gjewQOdbfz48g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780025153010&ei=a_iHW8CZNpWQ3wH4sr6ABw&url=https://www.nasdaq.com/article/china-reports-another-outbreak-of-african-swine-fever-20180830-00642;30-Aug-2018;Breaking;Irrelevant;no;;8/23/19 13:59;;;185;80;;Google News;118.373512;31.33728;163;36,08
HealthMap;"Wuhu; Anhui Province; China";China;African Swine Fever;Pigs;5999840;twitter;https://twitter.com/AVMAvets/statuses/1035541486962651137;31-Aug-18;Breaking;Irrelevant;no;;8/23/19 13:48;;;;80;;Twitter;118.373512;31.33728;163;36,08
HealthMap;"Xuancheng; Anhui Province; China";China;African Swine Fever;Pigs;6002784;channelnewsasia;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGNgLLAc21AF4-aOGpOEduBOexizQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780028709540&ei=wsKLW6iWEIzfpwez6IvACg&url=https://www.channelnewsasia.com/news/asia/china-confirms-sixth-african-swine-fever-outbreak-in-the-country-10677144;02-sept-18;Breaking;Irrelevant;no;;8/23/19 12:57;;;;134;;Google News;118.841927;30.644911;90;64,71
HealthMap;"Xuancheng; Anhui Province; China";China;African Swine Fever;Pigs;6003094;indiatimes;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEdck8gE8p4X5KAPmQJHkmCJE8uQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780028709540&ei=EwmMW9i-J4i-3AGRoZiYAw&url=https://economictimes.indiatimes.com/news/international/world-news/china-confirms-sixth-african-swine-fever-outbreak-in-the-country/articleshow/65645317.cms;02-sept-18;Breaking;Irrelevant;no;;09/06/2018 21:33;;;;134;;Google News;118.841927;30.644911;90;64,71
HealthMap;Malaysia;Malaysia;Avian Influenza;Poultry (domestic);6004123;arabnews;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFTrWUqTkPaSTq5BkfIJJ90oYai0A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780029559730&ei=MgaNW4jWGs623AGh6a3wAg&url=http://www.arabnews.com/node/1365816/saudi-arabia;02-sept-18;Warning;Irrelevant;no;;09/06/2018 21:32;;;;;;Google News;113.191803;2.5746;20;92,16
